pais,escritorio_oms,fonte_dos_dados,data_ultima_atualizacao,data_inicio_vacinacao,total_cumulativo_doses_vacina,cumulativo_de_doses_por_100hab,cumulativo_de_pessoas_com_uma_dose,cumulativo_de_pessoas_com_uma_dose_por_100hab,cumulativo_de_pessoas_totalmente_vacinadas,cumulativo_de_pessoas_totalmente_vacinadas_por_100hab,vacinas_usadas,numero_de_tipos_de_vacina_usados,pessoas_com_dose_adicional,pessoas_com_dose_adicional_por_100hab
Suriname,AMRO,REPORTING,2023-05-05,2021-02-23,554588.0,94.538,267820,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,48889.0,8.334
Suécia,EURO,REPORTING,2023-05-14,2020-12-23,23221955.0,224.9,7470334,72.334,7332646,71.001,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0,5540679.0,53.649
Suíça,EURO,REPORTING,2023-05-14,2020-12-23,16754460.0,193.6,6096538,70.84,5722923,66.499,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1",6.0,4995324.0,58.044
República Árabe da Síria,EMRO,REPORTING,2023-04-18,2021-04-01,5090630.0,29.088,3295630,18.831,2358365,13.476,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,75881.0,0.434
Tajiquistão,EURO,REPORTING,2022-12-04,2021-03-24,18871161.0,197.9,5311967,55.695,5170582,54.212,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0,5200841.0,54.53
Tailândia,SEARO,REPORTING,2023-04-28,2021-02-28,139178079.0,199.396,57628237,82.562,54162023,77.596,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",8.0,27387819.0,39.238
Reino Unido,EURO,REPORTING,2022-09-11,2020-12-21,151248820.0,222.8,53813491,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,,
Timor-Leste,SEARO,REPORTING,2023-05-23,2021-04-07,2018182.0,153.073,883930,67.043,799362,60.629,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4.0,334890.0,25.4
Togo,AFRO,REPORTING,2023-04-02,2021-03-10,3401991.0,41.093,2246404,27.135,1554066,18.772,SII - Covishield,1.0,427804.0,5.168
Tokelau,WPRO,REPORTING,2022-12-05,2021-07-20,6342.0,469.778,2203,163.185,2203,163.185,Pfizer BioNTech - Comirnaty,1.0,968.0,71.704
Tonga,WPRO,REPORTING,2023-04-30,2021-04-14,204640.0,193.614,87345,82.639,77366,73.197,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0,38545.0,36.468
Trinidad e Tobago,AMRO,REPORTING,2023-05-05,2021-02-17,1589640.0,113.587,754399,53.905,718969,51.374,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,174836.0,12.493
Tunísia,EMRO,REPORTING,2023-05-16,2021-03-13,13249798.0,112.11,7218622,61.078,6399770,54.15,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0,1257890.0,10.643
Turquia,EURO,REPORTING,2023-01-29,,139694693.0,,50974980,61.919,50670345,60.935,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",3.0,27896331.0,33.547
Turcomenistão,EURO,REPORTING,2023-02-05,2021-02-24,13040514.0,216.2,3359468,55.702,3358426,55.684,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",7.0,3171535.0,52.586
Ilhas Turks e Caicos,AMRO,REPORTING,2023-05-05,2021-01-11,73907.0,190.885,32815,84.754,30710,79.317,Pfizer BioNTech - Comirnaty,1.0,7443.0,19.224
Tuvalu,WPRO,REPORTING,2023-02-01,2021-04-13,26783.0,227.129,9763,82.793,9505,80.605,AstraZeneca - Vaxzevria,1.0,5745.0,48.719
